단축코드,한글 종목약명,시장구분
098120,마이크로컨텍솔,Q
009520,포스코엠텍,Q
095570,AJ네트웍스,P
006840,AK홀딩스,P
079810,APS이노베이션,Q
282330,BGF리테일,P
027410,BGF,P
138930,BNK금융지주,P
001465,BYC우,P
001460,BYC,P
001045,CJ우,P
00104K,CJ4우(전환),P
001040,CJ,P
011155,CJ씨푸드1우,P
011150,CJ씨푸드,P
058820,CMG제약,Q
000590,CS홀딩스,P
012030,DB,P
005830,DB손해보험,P
016610,DB증권,P
000990,DB하이텍,P
001530,DI동일,P
000215,DL우,P
000210,DL,P
37550K,DL이앤씨우,P
37550L,DL이앤씨2우(전환),P
375500,DL이앤씨,P
155660,DSR,P
069730,DSR제강,P
017860,DS단석,P
017940,E1,P
365550,ESR켄달스퀘어리츠,P
050120,ES큐브,Q
383220,F&F,P
007700,F&F홀딩스,P
032620,GC메디아이,Q
078935,GS우,P
006360,GS건설,P
078930,GS,P
012630,HDC,P
097230,HJ중공업,P
014790,HL D&I,P
024850,HLB이노베이션,Q
204320,HL만도,P
060980,HL홀딩스,P
035000,HS애드,P
015360,INVENI,P
175330,JB금융지주,P
234080,JW생명과학,P
001065,JW중외제약우,P
001067,JW중외제약2우B,P
001060,JW중외제약,P
096760,JW홀딩스,P
105560,KB금융,P
432320,KB스타리츠,P
024120,KB오토시스,Q
009070,KCTC,P
044180,KD,Q
003620,KG모빌리티,P
016380,KG스틸,P
001390,KG케미칼,P
046440,KG파이낸셜,Q
001940,KISCO홀딩스,P
025000,KPX케미칼,P
092230,KPX홀딩스,P
000040,KR모터스,P
093050,LF,P
003555,LG우,P
034220,LG디스플레이,P
003550,LG,P
051905,LG생활건강우,P
051900,LG생활건강,P
373220,LG에너지솔루션,P
032640,LG유플러스,P
011070,LG이노텍,P
066575,LG전자우,P
066570,LG전자,P
051915,LG화학우,P
051910,LG화학,P
079550,LIG디펜스앤에어로스페이스,P
073490,LIG아큐버,Q
010120,LS ELECTRIC,P
000680,LS네트웍스,P
006260,LS,P
229640,LS에코에너지,P
108320,LX세미콘,P
001120,LX인터내셔널,P
086960,MDS테크,Q
023150,MH에탄올,P
035420,NAVER,P
181710,NHN,P
054050,NH농우바이오,Q
338100,NH프라임리츠,P
034310,NICE,P
063570,NICE인프라,Q
008260,NI스틸,P
004255,NPC우,P
004250,NPC,P
456040,OCI,P
010955,S-Oil우,P
010950,S-Oil,P
005090,SGC에너지,P
001380,SG글로벌,P
001770,SHD,P
002360,SH에너지화학,P
009160,SIMPAC,P
123700,SJM,P
025530,SJM홀딩스,P
03473K,SK우,P
011790,SKC,P
018670,SK가스,P
001740,SK네트웍스,P
210980,SK디앤디,P
395400,SK리츠,P
034730,SK,P
402340,SK스퀘어,P
260870,SK시그넷,X
361610,SK아이이테크놀로지,P
100090,SK오션플랜트,P
096775,SK이노베이션우,P
096770,SK이노베이션,P
001515,SK증권우,P
001510,SK증권,P
28513K,SK케미칼우,P
285130,SK케미칼,P
017670,SK텔레콤,P
003570,SNT다이내믹스,P
064960,SNT모티브,P
100840,SNT에너지,P
036530,SNT홀딩스,P
465770,STX그린로지스,P
011810,STX,P
077970,STX엔진,P
041930,SY동아,Q
084870,TBH글로벌,P
002710,TCC스틸,P
048770,TPC로보틱스,Q
024070,WISCOM,P
079940,가비아,Q
078890,가온그룹,Q
000500,가온전선,P
399720,가온칩스,Q
296520,가이아코퍼레이션,X
036620,감성코퍼레이션,Q
000860,강남제비스코,P
198440,강동씨앤엘,Q
217730,강스템바이오텍,Q
035250,강원랜드,P
114190,강원에너지,Q
094480,갤럭시아머니트리,Q
011420,갤럭시아에스엠,P
039240,경남스틸,Q
053950,경남제약,Q
002100,경농,P
009450,경동나비엔,P
267290,경동도시가스,P
012320,경동인베스트,P
011040,경동제약,Q
000050,경방,P
214390,경보제약,P
012610,경인양행,P
009140,경인전자,P
024910,경창산업,Q
013580,계룡건설,P
012205,계양전기우,P
012200,계양전기,P
002140,고려산업,P
049720,고려신용정보,Q
010130,고려아연,P
002240,고려제강,P
014570,고려제약,Q
348150,고바이오랩,Q
950190,고스트스튜디오,Q
098460,고영,Q
035290,골드앤에스,Q
215000,골프존,Q
121440,골프존홀딩스,Q
366030,공구우먼,Q
009290,광동제약,P
086220,광동헬스바이오,X
017040,광명전기,P
029480,광무,Q
017900,광전자,P
037710,광주신세계,P
026910,광진실업,Q
465320,교보15호스팩,Q
482520,교보16호스팩,Q
489210,교보17호스팩,Q
0041B0,교보18호스팩,Q
0098T0,교보19호스팩,Q
0132G0,교보20호스팩,Q
030610,교보증권,P
339770,교촌에프앤비,P
053270,구영테크,Q
007690,국도화학,P
066620,국보디자인,Q
043650,국순당,Q
006050,국영지앤엠,Q
060480,국일신동,Q
078130,국일제지,Q
307750,국전,Q
002720,국제약품,P
035080,그래디언트,Q
318060,그래피,Q
114090,GKL,P
900290,GRT,Q
453450,그리드위즈,Q
204020,그리티,Q
0015G0,그린광학,Q
402490,그린리소스,Q
114450,그린생명과학,Q
083420,그린케미칼,P
186230,그린플러스,Q
014530,극동유화,P
083450,GST,Q
900070,글로벌에스엠,Q
204620,글로벌텍스프리,Q
019660,글로본,Q
014285,금강공업우,P
014280,금강공업,P
053260,금강철강,Q
008870,금비,P
282720,금양그린파워,Q
001570,금양,P
002995,금호건설우,P
002990,금호건설,P
011785,금호석유화학우,P
011780,금호석유화학,P
214330,금호에이치티,P
001210,금호전기,P
073240,금호타이어,P
036190,금화피에스시,Q
049080,기가레인,Q
420770,기가비스,Q
035460,기산텔레콤,Q
092440,기신정기,P
000270,기아,P
013700,까뮤이앤씨,P
004545,깨끗한나라우,P
004540,깨끗한나라,P
407400,꿈비,Q
187790,나노,Q
121600,나노신소재,Q
286750,나노실리칸첨단소재,Q
247660,나노씨엠에스,Q
039860,나노엔텍,Q
091970,나노캠텍,Q
417010,나노팀,Q
244880,나눔테크,X
405920,나라셀라,Q
478340,나라스페이스테크놀로지,Q
051490,나라엠앤디,Q
137080,나래나노텍,Q
190510,나무가,Q
242040,나무기술,Q
459510,나우로보틱스,Q
293580,나우IB,Q
138610,나이벡,Q
130580,나이스디앤비,Q
036800,나이스정보통신,Q
030190,NICE평가정보,P
267320,나인테크,Q
001260,남광토건,P
008355,남선알미우,P
